Q4,Q1,Q2,Q3,Department,PMO - Led,Project,Size,Project,PMO Led,Quarter
Do you have any other comments for the School of Medicine IT Team?,"Based on your understanding of the project, the project achieved its goals.","Changes to project cost, scope, schedule, or quality were effectively managed.",Stakeholders received adequate and effective project related communications.,Department,PMO - Led,Project,Size,Project,PMO Led,Quarter
"{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""Department""}","{""ImportId"":""Charte_CEDillwnsp""}","{""ImportId"":""Projec_CEDeeaifok""}","{""ImportId"":""Size_CEDrsc9t96""}","{""ImportId"":""Project""}","{""ImportId"":""PMO Led""}","{""ImportId"":""Quarte_CEDhf2qyjk""}"
"This team is such a pleasure to work with. I'm really grateful for such wonderful colleagues!

We did encounter a number of challenges related to this project that were unanticipated. Hoping we can draw on these lessons learned and have a smoother project roll out next year.",Somewhat agree,Somewhat agree,Strongly agree,,No,Annual Faculty Review in Qualtrics,Extra Small,Annual Faculty Reviews in Qualtrics,,FY2020-21 Q2
"",Somewhat agree,Strongly agree,Strongly agree,,No,OBG Global Women's Health WebApp,Large,OBG Global Women's Helath WebApp,,FY2020-21 Q2
"Brad provided excellent customer service and has such a positive attitude and demeanor that made it a pleasure to work with him. Whenever there was something that we noted was not what we were looking for, he looked to provide guidance on a solution. Even for items that technically, he could have just had us figure out like issues with thumbnails on our webpage for videos hosted on YouTube... he went over and beyond to help us address the sizing issues so that the look and feel of our website was professional. Would highly recommend him.",Strongly agree,Strongly agree,Strongly agree,,No,Web Redesign - Clinical Informatics,Extra Small,Website Redesign - Clinical Informatics,,FY2020-21 Q2
Nope!  Great job and the team was very helpful.  Many thanks,Strongly agree,Strongly agree,Strongly agree,,No,Allied Health Student Wellness,Extra Small,Allied Health Student Wellness,,FY2020-21 Q2
"",Strongly agree,Strongly agree,Strongly agree,,No,Allied Health Student Wellness,Extra Small,Go NAPSACC Enhancements,,FY2020-21 Q2
"We are very happy to have the MVP of the training page up and running. It did take a bit longer than originally anticipated, but I know that the team was trying to balance time between this major deliverable and additional requests/issues raise by our team about general website functionality.",Somewhat agree,Strongly agree,Strongly agree,,Yes,Go NAPSACC Enhancements,Extra Large,Go NAPSACC Enhancements,,FY2020-21 Q2
"I enjoyed the experience- great advice and practical help!
",Strongly agree,Somewhat agree,Strongly agree,,No,Website Redesign - NGRRC,Extra Small,Website Redesign - NGRRC,,FY2020-21 Q2
"",Strongly agree,Strongly agree,Strongly agree,,No,Web Redesign - Pathology,Small,Website Redesign - Pathology,,FY2020-21 Q2
